id,업종,브랜드,가맹사업 개월수,가맹점수,가맹점 평균매출액,창업비용,개점률,폐점률,개월수_r,가맹점수_r,평균매출액_r,창업비용_r,개점률_r,폐점률_r,레이블
106,제과제빵,고구맘,107,9,78827,70200,22,11,0.179816514,0.002367564,0.021792802,0.08540146,0.22,0.11,1
107,기타 외식,고굽남 고기굽는남자,77,13,1119303,124400,15,7,0.124770642,0.003551347,0.309457574,0.1513382,0.15,0.07,5
108,한식,"고기,원칙",47,52,470886,88770,67,1,0.069724771,0.015093223,0.130187002,0.107992701,0.67,0.01,3
109,기타 외식,고기고샵,70,2,721602,212780,0,50,0.111926606,0.000295946,0.199503508,0.258856448,0,0.5,5
110,한식,고기는 모름지기 연탄구이,26,9,419855,70941,100,11,0.031192661,0.002367564,0.116078247,0.08630292,1,0.11,3
111,한식,고기듬뿍대왕비빔밥,31,93,176845,46750,61,3,0.040366972,0.02722699,0.048892251,0.056873479,0.61,0.03,3
112,기타 외식,고돼지,41,21,345950,40600,71,4,0.058715596,0.005918911,0.095645421,0.049391727,0.71,0.04,3
113,한식,고래감자탕,49,12,828646,117255,0,0,0.073394495,0.003255401,0.229098412,0.142645985,0,0,1
114,기타 외식,고래고래회&해산물포차,68,2,515793,98800,0,100,0.108256881,0.000295946,0.142602629,0.120194647,0,1,0
115,한식,고래식당,48,21,544663,117255,4,4,0.071559633,0.005918911,0.150584439,0.142645985,0.04,0.04,1
116,중/일식,고레카레,57,7,290911,80000,42,0,0.088073394,0.001775673,0.080428557,0.097323601,0.42,0,1
117,제과제빵,고로케하우스,54,5,356100,71000,80,100,0.082568807,0.001183782,0.098451634,0.086374696,0.8,1,0
118,기타 외식,고마담치킨,82,22,88518,22800,9,9,0.133944954,0.006214856,0.024472114,0.027737226,0.09,0.09,1
119,기타 외국식,고메돈까스,34,5,611624,112200,60,0,0.04587156,0.001183782,0.169097428,0.13649635,0.6,0,3
120,기타 외식,고미후쿠데판,36,3,166667,68800,66,0,0.049541284,0.000591891,0.046078296,0.083698297,0.66,0,3
121,기타 외식,고반식당,51,24,787662,150250,12,4,0.07706422,0.006806748,0.217767393,0.182785888,0.12,0.04,5
122,기타 외식,고베규카츠,64,14,391119,195460,14,42,0.100917431,0.003847292,0.108133484,0.237785888,0.14,0.42,0
123,한식,고봉민김밥人,111,623,182019,59345,2,6,0.187155963,0.18407813,0.050322728,0.072195864,0.02,0.06,4
124,분식,고속우동,35,5,279860,93455,0,0,0.047706422,0.001183782,0.077373241,0.113692214,0,0,1
125,분식,고수라,50,14,188147,68000,0,28,0.075229358,0.003847292,0.052016962,0.082725061,0,0.28,1
126,기타 외식,고양이부엌,72,13,247355,81900,15,7,0.11559633,0.003551347,0.068386447,0.099635036,0.15,0.07,1
127,한식,고을래이베리코흑돼지,41,8,562241,107745,0,12,0.058715596,0.002071619,0.155444302,0.131076642,0,0.12,1
128,제과제빵,고집불통 식빵싸부,39,10,337585,83300,0,20,0.055045872,0.00266351,0.093332714,0.1013382,0,0.2,1
129,한식,고집센그집갈비탕,54,58,419137,74140,24,5,0.082568807,0.016868896,0.115879738,0.090194647,0.24,0.05,1
130,중/일식,고칸,35,16,357763,75580,31,0,0.047706422,0.004439183,0.09891141,0.091946472,0.31,0,1
131,카페,고품격 커피공장,64,8,154011,65900,75,0,0.100917431,0.002071619,0.042579239,0.080170316,0.75,0,3
132,패스트푸드,고피자(GOPIZZA),33,38,262949,81300,89,10,0.044036697,0.010949985,0.072697785,0.098905109,0.89,0.1,3
133,한식,고향옥얼큰순대국,96,15,743713,110000,46,0,0.159633028,0.004143238,0.205616629,0.133819951,0.46,0,1
134,한식,곤지암 한우 소머리국밥,44,23,153228,55735,56,26,0.064220183,0.006510802,0.04236276,0.067804136,0.56,0.26,3
135,한식,곤지암할매소머리국밥,74,106,133352,49300,31,13,0.119266055,0.031074282,0.036867558,0.059975669,0.31,0.13,1
136,제과제빵,곤트란쉐리에,79,20,701723,310500,15,25,0.128440367,0.005622965,0.194007477,0.377737226,0.15,0.25,5
137,카페,곰브라더스,62,11,84582,65450,0,100,0.097247706,0.002959455,0.023383912,0.079622871,0,1,0
138,한식,곰작골나주곰탕,109,18,556847,96800,11,27,0.183486239,0.005031074,0.153953,0.117761557,0.11,0.27,1
139,한식,곱깨비,37,32,73096,37400,40,40,0.051376147,0.009174312,0.020208329,0.045498783,0.4,0.4,0
140,한식,곱분이 곱창,31,43,408759,58740,100,13,0.040366972,0.012429713,0.113010489,0.071459854,1,0.13,3
141,기타 외식,곱선생,64,12,193466,63800,41,16,0.100917431,0.003255401,0.053487529,0.077615572,0.41,0.16,1
142,기타 외식,곱창가,67,35,487903,74170,14,14,0.106422018,0.010062149,0.134891763,0.090231144,0.14,0.14,1
143,기타 외식,곱창고,93,148,367276,51758,6,36,0.15412844,0.043503995,0.10154151,0.062965937,0.06,0.36,1
144,기타 외식,곱창이야기,119,76,389161,99100,15,11,0.201834862,0.022195916,0.107592147,0.120559611,0.15,0.11,1
145,기타 외식,곱창제작소,60,7,267488,89600,28,0,0.093577982,0.001775673,0.073952702,0.109002433,0.28,0,1
146,기타 외식,곱창파이터,32,15,171467,65400,53,33,0.042201835,0.004143238,0.047405373,0.079562044,0.53,0.33,3
147,기타 외식,곱창폭식,68,10,423595,91150,30,0,0.108256881,0.00266351,0.11711226,0.110888078,0.3,0,1
148,기타 외식,공룡고기,136,12,566034,297450,16,16,0.233027523,0.003255401,0.156492969,0.361861314,0.16,0.16,5
149,기타 외식,공릉동원조멸치국수,149,113,158444,25330,10,5,0.256880734,0.033145901,0.043804849,0.030815085,0.1,0.05,4
150,분식,공수간,102,192,54021,70119,53,25,0.170642202,0.056525599,0.014934583,0.08530292,0.53,0.25,1
151,분식,공씨네주먹밥,142,18,70124,57380,5,11,0.244036697,0.005031074,0.019386648,0.069805353,0.05,0.11,4
152,카페,공차,97,498,448335,124410,25,1,0.16146789,0.147084936,0.123952232,0.151350365,0.25,0.01,1
153,기타 외식,곽두리쪽갈비,105,11,162186,55300,18,9,0.176146789,0.002959455,0.044839415,0.067274939,0.18,0.09,1
154,한식,곽만근갈비탕,115,28,660043,166040,0,10,0.194495413,0.00799053,0.182484032,0.201995134,0,0.1,1
155,한식,괸당집,23,6,357400,61360,100,0,0.025688073,0.001479728,0.09881105,0.074647202,1,0,3
156,한식,교동면옥,39,35,820597,93950,62,0,0.055045872,0.010062149,0.226873071,0.114294404,0.62,0,3
157,한식,교동전선생,130,37,359159,91500,0,13,0.222018349,0.01065404,0.099297368,0.111313869,0,0.13,1
158,중/일식,교동짬뽕,79,29,535640,113950,20,17,0.128440367,0.008286475,0.148089812,0.138625304,0.2,0.17,1
159,치킨,교촌치킨,321,1157,652690,106684,7,0,0.572477064,0.342113051,0.180451117,0.129785888,0.07,0,2
160,주점,구노포차,127,36,209715,73050,30,19,0.216513761,0.010358094,0.057979958,0.088868613,0.3,0.19,1
